F5SPECS,C1FMOTOR,C4R4RSCL,C4R4MSCL,P4ATTENI,P4SOLVE,P4SADLON,T4EXTERN,T4INTERN,GENDER,WKWHITE,WKSESL
2,3,58.1,44.99,1,1,1.25,NA,NA,1,NA,NA
2,1,35.71,16.58,NA,NA,NA,NA,NA,2,2,-0.63
-9,3,NA,NA,NA,NA,NA,NA,NA,2,1,-0.26
2,4,43.37,43.41,3,3,1.5,NA,NA,1,2,-0.24
2,8,NA,NA,NA,NA,NA,NA,NA,2,1,-0.08
NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
-9,NA,45.13,36.75,2,2,2,NA,NA,2,1,-1.12
2,9,150.77,114.51,2,1,1.75,NA,NA,2,1,-0.24
2,8,58.39,46.22,2,2,2,NA,NA,2,1,-0.48
2,6,83.83,74.08,1,1,1.75,NA,NA,2,1,-0.23
2,6,65.04,42.05,2,2,2,NA,NA,2,1,-0.05
2,6,78.15,82.73,1,2,1.5,NA,NA,1,1,0.53
2,5,56.49,55.98,2,3,1.75,NA,NA,2,1,0.98
2,7,76.97,77.06,1,2,1.25,NA,NA,1,2,-0.11
-9,5,NA,NA,NA,NA,NA,NA,NA,2,1,-0.23
1,6,68.73,55.36,2,2,2,NA,NA,1,1,0.5
2,8,91.73,74.39,1,1,1.75,NA,NA,2,1,0.93
2,8,64.53,56.85,2,2,1.25,NA,NA,1,1,-0.08
2,7,65.58,56.73,2,2,1,NA,NA,2,1,0.2
2,4,NA,NA,2,1,1.25,NA,NA,2,1,0.57
2,3,56.43,47.38,NA,NA,NA,NA,NA,1,1,-0.71
-9,5,39.61,34.35,3,3,2.25,NA,NA,1,1,-0.45
2,7,122.96,50.24,3,2,1.25,NA,NA,2,1,-0.91
2,6,80.66,92.05,2,2,1.5,NA,NA,1,1,0.79
2,4,88.71,62.75,3,1,1.25,NA,NA,1,1,0.48
2,8,88.77,78.55,2,1,1.25,NA,NA,2,1,0.97
2,9,NA,NA,2,1,1.5,NA,NA,1,1,0.63
2,4,88.73,71.44,2,2,1.5,NA,NA,1,1,-0.2
1,7,53.52,43.18,2,1,2,NA,NA,1,1,-0.26
2,6,98.89,56.99,2,2,1,NA,NA,2,1,1.34
2,NA,73.99,49.1,NA,NA,NA,NA,NA,1,NA,NA
2,NA,125.74,77.21,NA,NA,NA,NA,NA,1,NA,NA
2,NA,66.76,85.26,3,2,1.75,NA,NA,1,1,-0.23
2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,NA,65.85,65.5,3,2,2.75,NA,NA,1,NA,NA
2,NA,86.56,75.34,1,1,2,NA,NA,1,1,0.43
NA,NA,75.13,49.08,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,50.35,45.81,2,2,2.75,NA,NA,1,1,0.57
2,NA,60.7,79.49,2,2,1.25,NA,NA,1,1,0.14
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,-0.55
2,NA,75.02,76.49,3,2,1,NA,NA,1,1,0.09
NA,NA,43.26,45.89,2,2,1.75,NA,NA,1,1,-4.75
2,NA,67.71,65.43,1,2,1.25,NA,NA,2,1,0.61
2,NA,49.14,47.61,2,1,1.75,NA,NA,1,1,-0.24
1,NA,44.72,36.69,NA,NA,NA,NA,NA,1,1,-0.3
2,NA,63.06,41.52,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,74.38,48.15,2,2,1.5,NA,NA,2,1,-0.36
2,NA,48.49,42.89,2,2,2.25,NA,NA,1,NA,NA
2,NA,63.72,76.81,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,-0.02
NA,NA,38.42,27.8,2,3,1.75,NA,NA,1,1,0.05
2,NA,75.89,64.51,2,2,2,NA,NA,2,1,-0.1
2,NA,63.17,61.63,2,2,2,NA,NA,2,1,0.04
2,6,45.99,40.34,1,2,1.25,NA,NA,2,1,0.28
2,3,NA,NA,2,2,2,NA,NA,1,1,0.44
2,8,40.25,63.47,2,2,1.5,NA,NA,1,1,0.51
-9,4,NA,NA,1,2,2.25,NA,NA,2,1,-0.4
2,6,43.46,35.86,2,2,1.25,NA,NA,2,1,0.7
2,6,52.6,52.34,2,1,1.25,NA,NA,2,1,0.52
2,5,140.25,76.54,1,1,1.25,NA,NA,2,1,1.22
2,5,67.68,71.31,2,2,1.5,NA,NA,2,1,-0.26
2,6,69.1,63.01,2,2,1,NA,NA,1,1,-0.49
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,-0.15
2,9,99.63,64.72,2,2,1.5,NA,NA,1,1,0.36
2,6,107.61,65.79,2,2,1.25,NA,NA,1,1,-0.17
2,8,83.11,71.69,2,2,1.5,NA,NA,2,1,0.4
2,6,97.19,77.77,2,1,2,NA,NA,2,1,1.04
-9,5,95.25,63.48,2,1,1.25,NA,NA,2,1,0.67
2,8,83.1,59.95,2,2,1.75,NA,NA,2,1,0.69
2,5,60.89,44.87,NA,NA,NA,NA,NA,1,1,-0.48
2,5,NA,NA,2,2,1.75,NA,NA,1,1,0
1,6,NA,NA,2,2,2.25,NA,NA,1,1,-0.85
1,7,NA,NA,2,2,2.5,NA,NA,1,1,0.08
2,7,65.52,67.78,3,3,1.5,NA,NA,1,1,-0.65
NA,8,NA,NA,4,2,2.25,NA,NA,2,1,-0.2
2,1,66.12,51.12,NA,NA,NA,1.2,1,2,1,-0.64
NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,6,68.06,47.34,NA,NA,NA,2,2.5,1,1,-0.67
2,4,56.92,61.1,2,2,1.25,1.4,1.5,1,1,0.28
2,8,NA,NA,3,1,2.25,NA,NA,1,1,-0.46
2,5,76.98,58.85,3,3,1.5,2,1.25,2,1,-0.2
NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,-0.64
1,4,50.11,51.47,3,2,1.5,2.2,2,1,1,-0.35
2,5,59.22,49.57,2,2,1.25,2,1.33,2,2,-0.45
-9,3,NA,NA,2,1,2,NA,NA,1,1,0.39
-9,0,46.13,37.02,4,4,2,3,3.5,1,1,0.35
2,7,104.62,88.43,2,1,1.5,2.4,2,2,1,0.14
2,2,59.77,42.66,3,2,2.75,1.8,3,1,1,-0.59
2,5,71.2,49.35,2,2,1.25,1.2,1.25,2,1,0.1
2,5,67.27,61.6,NA,NA,NA,1,1,2,2,1.11
2,4,75.4,56.24,2,2,2,1.6,1.25,2,1,-0.11
2,5,64.44,68.19,3,2,1.25,2.2,2.25,1,1,-0.72
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-0.77
NA,3,NA,NA,NA,NA,NA,NA,NA,2,1,-0.97
NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,-0.45
1,1,34.18,31.8,2,2,2,NA,NA,1,1,-0.45
2,7,51.79,62.69,2,1,1.75,NA,NA,2,1,-0.54
NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,-0.41
NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,-0.46
2,4,50.78,53.3,NA,NA,NA,NA,NA,1,1,-0.14
NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,-0.09
2,2,42.1,42.45,3,2,1.5,NA,NA,2,1,-1.22
NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,-0.78
1,7,27.92,31.05,2,2,2.5,NA,NA,1,1,-0.48
NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,-1.11
2,5,48.93,46.51,2,2,1.25,NA,NA,1,1,-0.33
2,9,92.45,62.81,NA,NA,NA,NA,NA,2,1,-0.84
2,8,65.64,44.94,1,1,1.25,NA,NA,1,1,-0.09
1,4,43.38,26.4,NA,NA,NA,NA,NA,1,NA,NA
2,8,44.59,43.64,1,2,1.75,NA,NA,1,1,-0.19
NA,7,59.05,40.81,1,2,1.25,NA,NA,2,1,0.13
NA,5,52.11,52.7,2,2,1.75,NA,NA,1,1,-0.88
2,7,53.13,68.71,2,2,1.75,NA,NA,1,1,0
2,6,65.47,58.04,3,2,1.25,NA,NA,1,1,-0.61
2,5,44.35,43.78,2,2,2,NA,NA,2,1,-1.08
NA,7,NA,NA,NA,NA,NA,NA,NA,2,2,2.09
NA,9,NA,NA,NA,NA,NA,NA,NA,1,1,0.55
NA,6,NA,NA,NA,NA,NA,NA,NA,2,1,1.93
2,6,105.34,101.7,2,1,1.75,1.6,1,2,1,-0.3
2,NA,66.21,78.59,2,2,2.25,2,1.75,1,1,0.58
NA,7,NA,NA,NA,NA,NA,NA,NA,2,1,-0.23
2,6,102.14,89.35,2,2,2,2,2,1,1,-0.06
2,4,93.64,58.69,2,1,1.25,1.6,2,2,1,-0.43
2,7,141.92,104.44,2,2,1.5,1.6,1.5,2,1,0.02
2,7,97.69,69.23,1,1,1,1.6,1.25,1,1,0.77
NA,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,5,90.12,63.95,2,3,1.75,1.8,1,2,1,0.22
2,5,89,58.5,1,1,1.5,1.2,1.67,2,1,0.55
2,3,52.07,55.83,3,2,1,3,2,1,1,-0.07
NA,8,NA,NA,NA,NA,NA,NA,NA,1,1,-0.49
2,7,91.57,61.52,2,1,1.25,1.2,1.75,2,1,-0.18
2,9,129.37,78.8,1,1,2,1.4,1.5,2,1,0.22
2,5,82.68,47.8,2,2,2,2.4,1.5,2,1,-0.13
2,6,68.92,66.21,3,1,1.75,1,1.5,1,1,0.17
2,3,75.49,78.17,2,2,2.5,3.6,1.75,2,1,1.52
2,9,80.49,73.88,2,2,1.5,1.4,1.25,2,1,-0.01
2,5,59.22,33.46,3,2,2.5,2.6,2,1,1,-0.72
2,5,87.94,78.69,2,2,1.75,1.2,1,2,1,0.12
2,6,65.03,101.85,1,1,1.25,1.25,1.25,1,1,0.47
2,7,84.71,65.29,2,2,2,NA,NA,2,1,-0.58
-9,5,NA,NA,NA,NA,NA,NA,NA,2,1,1.07
2,7,73.6,48.84,2,2,1.5,2,1.5,2,1,-0.4
NA,7,99.23,103.37,2,2,1.25,1,1,1,1,-0.5
NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,0.39
NA,6,108.14,81.79,2,2,1.25,2.2,1.25,2,1,0.19
2,4,102.16,99.89,2,2,1.25,1.8,1.5,2,1,0.22
2,9,87.88,97.58,2,2,1.25,1.2,1.5,1,1,0.61
NA,7,NA,NA,NA,NA,NA,NA,NA,2,1,1
2,4,105.48,90.01,3,4,1.25,1.6,1.5,1,1,-0.03
2,4,130.03,72.7,1,1,1.25,1.6,1.25,2,1,-0.39
NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,-0.64
2,3,76.47,55.07,3,2,1.75,1.2,1.75,2,1,0.1
2,7,88.68,45.29,2,2,1.75,1.6,1.25,2,1,-0.47
2,9,85.35,80.48,2,2,1.25,1,2,1,1,-0.46
NA,9,97.58,92.13,2,2,1,1.2,1.5,2,2,-0.4
2,7,93.81,72.84,1,1,1.25,1,1.25,2,1,-0.04
NA,6,NA,NA,NA,NA,NA,NA,NA,2,1,-0.75
NA,7,NA,NA,NA,NA,NA,NA,NA,2,1,0.24
NA,4,76.23,75.46,NA,NA,NA,1.4,1.25,2,1,-0.02
1,1,65.92,33.74,4,3,1.33,1.6,2.5,1,1,-0.71
NA,5,NA,NA,NA,NA,NA,NA,NA,2,1,-0.49
NA,5,68.53,52.12,2,2,1.5,3,2.25,2,1,-0.36
NA,8,NA,NA,NA,NA,NA,NA,NA,1,1,-0.29
NA,2,56.12,43.94,2,2,1.25,1.6,1.25,1,1,-0.26
2,8,101.71,83.94,1,1,1.75,1,1.75,2,1,0.16
2,8,128.45,84.41,2,1,1.75,1,1,2,2,1.24
2,5,105.46,86.15,2,1,1.25,1.6,1.25,1,1,0.79
2,5,79.41,60.92,2,2,1.25,1,1,2,1,0.35
2,7,63,94.69,2,2,2,1.4,2,2,1,0.12
2,0,51.23,27.52,3,3,1.25,1,3,1,1,-0.66
2,7,77.8,63.22,2,3,1,NA,NA,2,2,-0.34
2,7,70.98,68.08,2,2,1.5,1.8,1,1,1,-0.12
1,5,64.37,49.46,3,2,2.75,1,2,1,1,0.61
2,4,73.17,76.13,2,2,1.5,1,1.25,2,1,0.63
2,5,67.82,66.09,2,2,2,1,1.5,1,1,1.1
2,6,63.68,64.22,2,2,2,NA,NA,2,1,-0.05
2,7,158.17,93.44,1,1,1.5,1,1,2,1,1.37
-9,8,105.31,87.08,2,2,1.75,1.4,1.5,2,1,0.27
2,5,106.92,49.73,NA,NA,NA,1,1.5,2,2,0.48
2,8,150.57,114.83,1,1,1.25,NA,NA,1,1,0.98
2,9,99.83,110.9,2,2,1.25,1.2,1,2,1,0.59
2,9,90.8,102.56,3,1,2,1.6,1.25,1,1,0.93
2,4,64.59,101.23,2,2,1.5,1.4,1.5,1,1,0.08
NA,8,NA,NA,NA,NA,NA,NA,NA,1,2,0.69
2,8,106.35,74.7,1,1,1.5,NA,NA,1,1,-0.16
2,9,65.52,56.05,4,2,1,1.2,1.5,2,2,0.42
NA,4,NA,NA,NA,NA,NA,NA,NA,2,2,-0.06
2,2,86.47,55.23,2,2,2,NA,NA,1,2,-0.06
2,NA,61.39,74.02,2,2,1.75,1.8,1,1,NA,NA
2,5,58.55,42.84,1,1,2,NA,NA,2,2,-0.38
2,6,77,59.78,2,2,1.75,NA,NA,1,1,-0.1
2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
NA,6,NA,NA,NA,NA,NA,NA,NA,2,2,0.49
2,8,84.1,65.03,2,2,2,NA,NA,2,1,0.6
2,7,130.04,94.19,2,1,2,NA,NA,2,1,1.63
2,5,112.03,90.51,3,1,1.5,NA,NA,1,1,-0.22
2,8,70.33,48.49,2,2,1,NA,NA,1,2,-0.58
2,5,111.76,103.32,1,1,1.25,NA,NA,1,1,1.46
2,6,124.9,91.67,1,1,1,NA,NA,2,1,1.1
2,2,79.8,54.02,2,2,1.25,NA,NA,2,2,-0.23
2,9,66.98,68.61,2,2,1.5,NA,NA,2,2,-0.44
2,4,72.87,71.52,2,2,1.25,NA,NA,1,1,0.16
-9,5,73.2,43.25,2,2,1,NA,NA,2,1,0.03
2,8,125.77,80.4,1,1,1.25,NA,NA,1,1,0.97
2,6,133.09,114.94,1,1,1.5,NA,NA,2,1,0.53
2,5,107.64,58.72,1,1,1,NA,NA,2,1,-0.67
2,6,106.01,100.76,NA,NA,NA,NA,NA,2,1,1.54
2,6,84.88,90.7,2,2,1.5,NA,NA,1,1,-0.05
2,7,143.75,96.06,2,1,1.75,NA,NA,1,1,1.09
2,6,68.08,48.88,3,3,2.75,NA,NA,2,1,-0.2
2,4,71.16,56.06,NA,NA,NA,NA,NA,2,2,-0.26
NA,6,NA,NA,NA,NA,NA,NA,NA,2,1,-0.47
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,-0.52
NA,9,68.7,64.54,2,2,2,1.2,1.25,1,1,-0.41
2,6,164.03,118.51,1,1,1.5,1,1.25,2,1,-0.07
2,4,106.17,74.76,2,1,1.75,1.8,1.25,1,1,-0.3
NA,5,NA,NA,NA,NA,NA,NA,NA,2,1,-0.19
NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,-1.31
2,6,100.66,58.2,1,1,1.5,2,1.25,1,1,-0.53
2,7,63.26,83.8,2,2,2,1.8,2,1,1,-0.43
2,NA,66.1,53.86,1,2,1.5,1.2,1.25,1,1,-0.37
NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,-0.44
2,4,105.3,55.83,2,2,2,1,1.25,2,1,-0.47
2,6,103.54,81.39,1,1,2,1,2,2,1,-0.3
2,9,114.1,75.87,2,2,2,2.8,2,1,1,-0.08
NA,8,74.39,85.35,NA,NA,NA,1.4,1,1,1,0.43
NA,5,NA,NA,NA,NA,NA,NA,NA,2,2,-1.53
NA,2,62.14,42.66,3,4,1.5,1,1.25,2,1,-0.74
NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,-0.55
NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,0.11
NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,-0.27
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,-0.41
2,7,57.75,50.87,NA,NA,NA,1.6,1.5,1,1,-0.01
NA,6,NA,NA,NA,NA,NA,NA,NA,2,1,-0.81
NA,5,NA,NA,NA,NA,NA,NA,NA,2,1,-0.96
2,4,62.63,54.38,1,2,2.5,NA,NA,2,1,-0.6
2,4,56.4,40.22,2,2,2,1.2,1.25,1,1,-0.77
NA,NA,81.05,50.07,2,2,2.75,NA,NA,2,1,-0.42
2,6,59.47,54.04,NA,NA,NA,1.8,1.75,2,1,-0.69
2,7,114.95,63.96,1,2,2,1,1,1,1,-0.92
2,4,42.53,36.01,4,2,1.25,3,1.75,1,1,-0.64
2,NA,45.86,41.7,NA,NA,NA,NA,NA,1,1,-1.03
2,5,89.75,74.69,1,1,1,NA,NA,1,1,-0.88
2,7,57.36,38.44,2,2,1,1.6,1.5,1,1,-0.92
2,5,72.35,55.9,1,1,1.25,NA,NA,2,1,-0.38
2,4,79.2,42.96,4,4,3.75,NA,NA,1,1,-0.67
NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,-0.93
2,4,64.65,47.31,2,2,1,1.75,1,1,1,-0.76
2,5,54.64,58.66,NA,NA,NA,NA,NA,1,1,-0.93
2,7,88.58,59.93,4,4,1.75,1,1,2,1,-1.39
2,6,42.49,39.11,NA,NA,NA,NA,NA,2,1,-0.7
2,4,60.53,90.25,3,3,2.5,2.4,1.25,1,1,-0.87
2,5,86.24,70.2,2,1,1.25,1.4,1,1,2,-0.05
NA,5,65.84,41.39,NA,NA,NA,2,1.25,2,2,-0.38
2,5,77.44,41.17,1,1,1,NA,NA,1,2,0.19
NA,NA,67.38,66.37,NA,NA,NA,NA,NA,2,NA,NA
2,NA,117.34,77.66,2,2,1.5,NA,NA,1,NA,NA
2,NA,76.47,63.19,2,1,1.5,NA,NA,2,NA,NA
2,NA,54.97,54.18,NA,NA,NA,1.2,2,1,NA,NA
1,6,63.87,44.61,2,1,1.25,2,1.75,1,1,0.63
2,9,66.88,67.39,1,2,1,1,1.75,2,1,0.58
2,8,66.09,73.06,2,1,1.25,1,1.75,2,1,1.31
2,8,77.08,68.09,3,2,2,1,1.75,2,1,0.42
2,7,100.94,76.11,2,2,1.25,1.4,1.25,1,1,0.52
1,7,67.92,61.42,1,1,1,1.4,1.25,1,1,1.18
1,4,70.39,52.57,3,3,1.75,2,2,1,1,1.11
2,6,105.87,56.62,1,2,2,1,2.25,2,1,0.97
2,7,116.74,123.49,2,1,1.25,1,1,1,1,0.34
2,9,74.11,70.41,2,2,1.25,1,3,1,1,1.3
2,9,149.96,102.52,1,1,1.25,1.2,1.5,2,1,1.01
2,5,123.09,88.62,2,2,1.25,1.2,1.25,1,1,0.66
2,7,124.75,132.49,1,1,1,1,1,1,1,1.91
2,9,168.36,89.21,2,2,1,NA,NA,2,1,0.51
2,5,97.47,98.35,2,2,1.25,2.2,2,1,1,1.11
2,6,98.56,71.85,2,1,1.25,1.6,2,2,1,0.8
2,8,124.57,92.84,NA,NA,NA,1.4,1,2,1,0.83
2,9,99.63,78.08,2,2,1.25,1.4,1,2,1,0.64
2,6,73.87,79.38,2,2,1.5,1,1.5,2,1,1.14
2,6,111.52,64.34,2,2,1.75,1.6,1,1,1,1.63
2,3,75.1,53.78,2,2,1,2,1,2,1,-0.21
2,7,88.03,58.97,2,1,1.5,2.2,2,2,1,0.12
2,5,54.68,72.86,2,1,1.5,1,2,1,1,1.52
2,5,69.92,65.97,2,2,1.5,1.6,2,1,1,1.41
2,2,75.59,76.16,3,2,1.75,3.6,2.25,1,2,0.35
2,8,86.8,47.14,1,1,1.5,3.4,2,1,2,0.24
2,8,94.12,88.1,2,2,1.25,2.2,1.75,2,2,1.08
2,3,158.72,54.61,3,2,1.5,1,1.25,2,1,0.89
2,8,71.97,49.16,1,1,1,1.8,1.75,2,1,2.03
2,5,84.12,50.07,4,2,1.5,2.8,2.5,1,1,1.4
2,7,106.78,61.45,2,2,1.25,1.8,1.5,1,1,-0.09
-9,7,175.43,118.51,2,1,2,2.2,1,1,1,1.6
2,5,72.25,66.78,1,1,1.25,1.4,1.75,1,1,1.49
2,8,65.68,47.3,3,2,2,2.4,2.25,1,2,0.48
2,6,138.7,66.53,1,1,2.5,2.6,2.33,1,2,1.02
2,7,66.83,61.55,1,2,1.75,1.4,1.25,1,1,1.2
2,9,92.99,82.95,2,2,1.25,1.8,1.25,2,1,0.78
2,6,112.75,72.84,3,1,1.75,1.4,1.5,1,1,1.14
2,6,64.29,85.71,1,1,1.25,1.2,1.5,1,1,1.37
-9,9,153.36,117.05,-9,-9,-9,2,1.25,2,1,1.6
NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,6,NA,NA,NA,NA,NA,NA,NA,2,1,0.15
2,4,46.48,36.35,3,3,1.25,NA,NA,2,1,-0.38
NA,6,NA,NA,NA,NA,NA,NA,NA,2,2,-0.32
NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,5,NA,NA,NA,NA,NA,NA,NA,2,2,-0.29
NA,6,NA,NA,NA,NA,NA,NA,NA,2,2,-0.07
NA,7,NA,NA,NA,NA,NA,NA,NA,1,2,0.91
NA,5,NA,NA,NA,NA,NA,NA,NA,2,1,1.07
NA,4,NA,NA,NA,NA,NA,NA,NA,1,2,-0.31
NA,5,74.51,62,NA,NA,NA,1.4,1.25,1,2,-0.67
NA,3,NA,NA,NA,NA,NA,NA,NA,1,2,-0.04
NA,7,52.52,45.57,1,2,1.5,3,2.25,1,2,-0.05
2,8,113.17,67.1,2,2,1.5,1,1,2,2,-0.17
NA,5,105.05,80.85,1,1,2,-9,-9,1,1,2.37
2,4,71.31,47.53,2,2,2,1.4,1.5,2,2,-0.48
NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,-0.4
2,7,143.73,40.32,2,1,1.75,2.4,1.25,1,1,0.69
2,6,77.16,57.89,3,2,2.5,1.2,1,1,2,-0.3
2,5,55.33,79.04,2,2,1.25,1.2,1.25,1,2,0.04
NA,3,50.53,45.69,4,4,1.5,1.2,1.5,1,2,-0.56
NA,6,66.72,60.72,-8,-8,1,2,2,1,2,1.54
NA,8,103.45,72.45,1,1,1.25,1.8,1.25,2,2,0.97
NA,5,55.91,49.23,1,1,1.25,1.6,1.75,2,2,0.5
2,-9,72.46,64.37,2,2,2,1.2,1.5,1,1,0.27
2,7,92.38,63.64,2,2,1.75,1.4,1.25,1,1,0.46
2,8,103.34,66.86,1,1,1.25,1.2,1.25,2,1,0.76
2,9,107.54,94.71,1,1,1.75,1,1.67,2,1,0.59
2,1,60.06,50.13,3,2,1.75,2.2,1.25,1,1,-0.3
2,7,101.26,90.63,2,2,1.25,1.6,2,1,1,-0.06
2,9,65.65,69.52,3,3,1.5,2,2,2,1,0.1
2,6,88.72,63.44,NA,NA,NA,1.8,1.5,1,1,0.41
2,8,84.14,65.75,2,2,2,1.6,1.5,2,1,0.9
2,7,127.68,93.43,2,1,2,1.8,1.25,1,2,-0.35
2,8,93.56,62.81,2,2,2.25,2,2,2,1,0.19
1,7,64.46,76.54,2,1,1.25,2,2,1,1,0.77
2,9,101.72,75.31,2,1,1.25,1.2,1.25,1,1,0.26
2,8,113.25,90.98,1,1,1.75,1.8,1.5,1,1,0.91
2,6,74.4,50.26,2,2,1.5,2,2,2,1,-0.12
2,9,127.81,102.94,2,1,1.75,1.8,1.25,1,1,1.5
NA,9,147.97,94.39,NA,NA,NA,2,1.25,1,1,-0.36
2,5,76.24,65.24,2,1,1.25,2.6,1.75,2,1,1.29
2,9,89.43,83.56,1,2,1.5,1.8,1.5,2,1,-0.04
2,6,105.79,69.13,2,2,2,1.6,1.25,1,1,0.44
2,7,103.1,90.74,3,2,2,1.2,1.25,1,1,0.18
2,7,123.05,98.88,2,1,1.5,1.2,1.25,2,1,0.17
2,8,65.46,42.48,2,2,1.5,1,1,2,NA,NA
2,7,124.37,90.93,1,1,1.75,1.2,1.25,2,1,0.39
NA,7,NA,NA,NA,NA,NA,NA,NA,2,1,-1.23
NA,7,73.15,64.42,2,2,1.75,1.8,1.5,1,1,-0.5
2,6,71.35,43.97,2,2,1.75,1.2,2.25,2,1,-0.2
NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,1.91
NA,7,74.81,61.58,1,2,1.75,1,1.5,2,1,0.42
NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,0.06
2,8,83.3,62.55,4,3,1.75,3.6,2.25,1,1,-0.35
NA,8,NA,NA,NA,NA,NA,NA,NA,1,1,0.15
2,6,73.62,59.8,NA,NA,NA,3,2.25,2,1,-0.26
1,6,47.79,39.3,2,3,1.75,2.2,1.75,1,1,-0.35
NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,-0.5
NA,8,73.22,65.69,NA,NA,NA,2.2,2,2,1,-0.17
NA,9,NA,NA,NA,NA,NA,NA,NA,1,1,1
1,6,65.87,55.93,2,2,1.25,1.4,1,2,1,-0.58
NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,0.55
NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,0.06
2,9,76.37,76.34,1,1,1.25,1.4,2,2,1,0.22
1,8,63,49.02,2,2,1.75,1,2.5,2,1,-0.96
NA,5,NA,NA,NA,NA,NA,NA,NA,2,1,-0.44
1,5,50.97,62.04,2,2,1.5,1.2,1,2,1,-0.58
NA,9,66.21,59.17,2,2,2,2,1.5,1,1,-0.14
2,8,103.95,75.01,1,2,2,1.2,1.25,2,1,0.51
2,6,76.12,90.62,3,1,1.75,2.6,3.25,1,1,0.9
2,6,70.99,60.91,1,2,1.5,1.6,1.5,1,1,0.26
2,7,108.96,66.25,1,1,1.25,1,1,1,1,-0.1
2,7,76.28,84.48,2,2,1.25,1.8,1.75,2,1,0.66
2,8,98.03,103.67,1,1,1.75,1,1.25,2,1,0.5
2,8,77.64,89.87,2,2,1.25,1.2,1.25,2,1,0.29
2,5,62.82,64.31,1,2,1.75,1.2,1.75,2,1,0.65
2,8,129.2,106.18,1,2,1.5,1.2,1.5,1,1,1.04
-9,NA,135.63,92.41,1,1,1.75,2.4,1.5,2,1,0.26
2,8,103.88,89.89,3,2,1.25,1.8,2,1,1,-0.15
2,6,101.47,89.25,2,2,1.5,1.4,2.25,2,1,1.09
-9,5,69.05,84,2,2,1.5,1.8,1.5,1,1,-0.1
2,7,58,80.51,2,2,2,2.2,2,2,1,1.61
2,5,92.57,91.97,2,2,2,1.6,1.75,1,1,0.37
2,6,129.69,95.35,2,2,1.5,2.2,1.5,1,1,2.27
2,8,78.57,79.52,2,2,1.5,2.2,2,1,1,0.4
2,5,75.24,56.98,2,2,1.75,3.2,1.25,1,1,0.4
2,6,75.61,54.25,4,3,2,1.2,2,2,1,-0.21
-9,6,79.65,63.29,2,2,2,1.6,1,1,1,-0.07
-9,6,NA,NA,3,2,1.5,NA,NA,1,1,0.41
2,8,100.29,66.7,2,2,1.75,2,1.5,1,1,1.81
2,8,75.37,69.63,3,2,1.5,1.4,1.75,1,1,0.37
2,2,89.75,57.37,3,2,1.5,2,1.67,1,1,1.81
2,8,98.64,72.92,2,2,2,1,1,2,1,0.29
NA,8,NA,NA,NA,NA,NA,NA,NA,1,1,0.93
2,7,65.74,56.99,3,2,1.25,2.8,2.5,1,2,-0.83
NA,8,59.38,54.05,1,2,1.75,2.4,1,1,1,0.38
2,8,81.57,72.68,2,2,1,1,1.25,2,1,-0.05
2,7,55.09,53.18,2,2,1.75,1.4,1.25,2,1,0.23
2,9,66.05,60.76,3,2,2,3.4,2,2,2,0.35
2,4,58.83,41.06,2,3,1.75,2,1.5,2,2,-0.71
2,8,74.03,74.97,2,1,1.25,2,1,1,1,0.71
