F5SPECS,C1FMOTOR,C4R4RSCL,C4R4MSCL,P4ATTENI,P4SOLVE,P4SADLON,T4EXTERN,T4INTERN,GENDER,WKWHITE,WKSESL
NA,1,66.78,54.92,2,1,2,1,1.75,2,1,1.18
2,6,126.15,88.19,1,1,1.75,1.4,1.25,1,1,0.96
NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,0.09
2,7,74.97,48.53,1,2,2,1,1.25,2,1,1.29
NA,5,52.03,40.84,2,2,1.5,1.4,1,2,1,-0.54
2,4,64.12,66.3,3,2,1.5,1,1.25,1,1,0.98
2,3,66.17,40.86,3,3,1.5,1.4,1.25,2,1,-0.33
2,6,60.01,51.57,2,2,1.5,1.4,1.25,1,1,0.76
NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,-0.66
NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,0.56
2,9,124.81,72.7,2,1,2,1.2,1.25,1,1,2.47
NA,6,NA,NA,NA,NA,NA,NA,NA,2,1,-0.23
2,7,86.92,53.84,2,2,1.5,1.2,1.25,2,1,-0.47
2,5,41.37,42.23,2,2,2,1.2,1,1,1,-0.11
2,8,126.85,92.33,1,1,1,1,1.25,2,1,1.95
2,9,97.16,71.97,1,1,1.5,1,1.25,1,1,1.51
NA,8,NA,NA,NA,NA,NA,NA,NA,1,1,0.33
2,8,NA,NA,NA,NA,NA,NA,NA,2,1,0.89
NA,8,101.05,49.94,2,2,1.75,1,1.25,2,1,0.87
2,7,90.96,67.39,NA,NA,NA,1,1.25,2,1,0.76
2,7,106.36,70.35,2,2,1.25,1,1.25,1,1,0.48
NA,8,NA,NA,NA,NA,NA,NA,NA,2,1,-0.37
2,0,62.45,53.76,2,2,1.25,3.4,3.25,2,1,-1.2
2,5,67.47,41.53,2,2,1.5,1,1.25,1,1,-0.5
2,3,61.17,51.4,2,3,2,1.4,1.75,2,1,0.82
NA,2,68.32,54.72,2,2,1.5,1,1.5,1,1,-0.75
2,4,53.8,80.93,2,2,2,2,1.25,2,1,-0.52
2,2,51.98,39.14,1,2,1.25,1,1.75,2,1,-0.53
2,3,64.85,50.49,2,2,1.5,1.2,1.75,2,1,-0.45
2,4,72.57,55.42,3,1,1.25,2.2,2,2,1,-0.51
