Special_Education,Fine_Motor_Skill,Reading_Score,Math_Score,Attention_level,Problem_Solving,SadLonely,Externalizing,Internalizing,Gender,White,SES
1.0,3.0,37.4,32.86,3.0,4.0,1.75,1.8,2.75,1.0,1.0,-0.64
0.0,9.0,63.17,55.76,2.0,1.0,1.25,2.2,1.75,1.0,1.0,-0.25
0.0,6.0,106.05,61.54,1.0,2.0,1.5,2.0,2.0,1.0,1.0,-0.11
0.0,4.0,57.9,61.43,2.0,2.0,1.25,1.4,2.0,1.0,1.0,-0.82
0.0,5.0,74.39,41.98,2.0,2.0,2.0,1.4,1.75,2.0,1.0,-0.55
0.0,5.0,76.24,55.11,2.0,2.0,1.0,1.2,1.0,2.0,1.0,-0.52
0.0,2.0,44.59,26.34,2.0,2.0,1.25,1.0,2.5,2.0,1.0,-1.36
0.0,4.0,62.67,53.1,3.0,2.0,2.0,2.8,2.25,1.0,1.0,-0.67
0.0,5.0,50.08,35.98,2.0,2.0,1.75,1.2,1.75,2.0,1.0,-1.1
0.0,8.0,83.5,50.76,2.0,2.0,1.75,1.0,1.75,2.0,1.0,-0.49
0.0,5.0,75.58,48.29,2.0,2.0,1.0,1.2,2.0,2.0,1.0,-0.47
0.0,6.0,65.64,43.42,2.0,2.0,1.25,1.6,1.67,2.0,1.0,-0.16
0.0,8.0,107.9,55.08,2.0,2.0,1.75,1.0,1.25,2.0,1.0,1.21
0.0,5.0,67.76,49.92,2.0,2.0,1.0,1.4,1.75,1.0,1.0,-0.25
0.0,4.0,48.5,40.58,3.0,2.0,1.5,1.6,1.75,1.0,1.0,-0.46
0.0,4.0,57.06,60.37,2.0,2.0,1.25,1.6,1.5,2.0,2.0,0.24
0.0,6.0,125.86,65.18,1.0,2.0,1.25,1.2,1.75,2.0,1.0,-0.15
0.0,5.0,77.72,93.52,3.0,1.0,1.75,2.2,1.75,1.0,1.0,-0.31
0.0,7.0,71.23,87.77,1.0,1.0,1.5,1.0,1.25,2.0,1.0,1.06
0.0,5.0,78.96,56.15,2.0,2.0,2.0,2.4,2.25,2.0,1.0,0.2
0.0,6.0,66.46,55.63,2.0,2.0,1.75,3.0,1.25,1.0,1.0,-0.45
0.0,6.0,73.91,49.61,2.0,2.0,1.0,2.0,2.0,1.0,1.0,-0.11
1.0,8.0,70.62,54.24,2.0,3.0,1.25,2.6,2.0,2.0,1.0,-0.38
0.0,6.0,62.92,48.63,2.0,2.0,2.0,2.2,1.25,1.0,1.0,-0.07
0.0,4.0,60.76,53.65,2.0,2.0,1.25,1.8,2.0,1.0,1.0,-0.21
0.0,7.0,76.39,55.21,2.0,2.0,1.75,1.6,1.25,1.0,1.0,-0.48
0.0,7.0,88.77,90.66,1.0,2.0,2.0,1.0,1.25,1.0,1.0,-0.39
0.0,6.0,97.71,69.67,2.0,2.0,1.5,2.0,2.5,1.0,1.0,-0.03
